18-7-1 23:30:23.8|Info|MigrationLogger|*** 101: add_ultrahd_quality_in_profiles migrating ***
18-7-1 23:30:23.8|Info|add_ultrahd_quality_in_profiles|Starting migration to 101
18-7-1 23:30:23.8|Info|MigrationLogger|*** 103: fix_metadata_file_extensions migrating ***
18-7-1 23:30:23.8|Info|fix_metadata_file_extensions|Starting migration to 103
18-7-1 23:30:23.8|Info|MigrationLogger|*** 104: add_moviefiles_table migrating ***
18-7-1 23:30:23.8|Info|add_moviefiles_table|Starting migration to 104
18-7-1 23:30:23.8|Info|MigrationLogger|*** 105: fix_history_movieId migrating ***
18-7-1 23:30:23.8|Info|fix_history_movieId|Starting migration to 105
18-7-1 23:30:23.8|Info|MigrationLogger|*** 106: add_tmdb_stuff migrating ***
18-7-1 23:30:23.8|Info|add_tmdb_stuff|Starting migration to 106
18-7-1 23:30:23.9|Info|MigrationLogger|*** 107: fix_movie_files migrating ***
18-7-1 23:30:23.9|Info|fix_movie_files|Starting migration to 107
18-7-1 23:30:23.9|Info|MigrationLogger|*** 108: update_schedule_intervale migrating ***
18-7-1 23:30:23.9|Info|update_schedule_intervale|Starting migration to 108
18-7-1 23:30:23.9|Info|MigrationLogger|*** 109: add_movie_formats_to_naming_config migrating ***
18-7-1 23:30:23.9|Info|add_movie_formats_to_naming_config|Starting migration to 109
18-7-1 23:30:23.9|Info|MigrationLogger|*** 110: add_phyiscal_release migrating ***
18-7-1 23:30:23.9|Info|add_phyiscal_release|Starting migration to 110
18-7-1 23:30:23.9|Info|MigrationLogger|*** 111: remove_bitmetv migrating ***
18-7-1 23:30:23.9|Info|remove_bitmetv|Starting migration to 111
18-7-1 23:30:23.9|Info|MigrationLogger|*** 112: remove_torrentleech migrating ***
18-7-1 23:30:23.9|Info|remove_torrentleech|Starting migration to 112
18-7-1 23:30:23.9|Info|MigrationLogger|*** 113: remove_broadcasthenet migrating ***
18-7-1 23:30:23.9|Info|remove_broadcasthenet|Starting migration to 113
18-7-1 23:30:23.9|Info|MigrationLogger|*** 114: remove_fanzub migrating ***
18-7-1 23:30:23.9|Info|remove_fanzub|Starting migration to 114
18-7-1 23:30:24.0|Info|MigrationLogger|*** 115: update_movie_sorttitle migrating ***
18-7-1 23:30:24.0|Info|update_movie_sorttitle|Starting migration to 115
18-7-1 23:30:24.0|Info|MigrationLogger|*** 116: update_movie_sorttitle_again migrating ***
18-7-1 23:30:24.0|Info|update_movie_sorttitle_again|Starting migration to 116
18-7-1 23:30:24.0|Info|MigrationLogger|*** 117: update_movie_file migrating ***
18-7-1 23:30:24.0|Info|update_movie_file|Starting migration to 117
18-7-1 23:30:24.0|Info|MigrationLogger|*** 118: update_movie_slug migrating ***
18-7-1 23:30:24.0|Info|update_movie_slug|Starting migration to 118
18-7-1 23:30:24.0|Info|MigrationLogger|*** 119: add_youtube_trailer_id migrating ***
18-7-1 23:30:24.0|Info|add_youtube_trailer_id|Starting migration to 119
18-7-1 23:30:24.0|Info|MigrationLogger|*** 120: add_studio migrating ***
18-7-1 23:30:24.0|Info|add_studio|Starting migration to 120
18-7-1 23:30:24.0|Info|MigrationLogger|*** 121: update_filedate_config migrating ***
18-7-1 23:30:24.0|Info|update_filedate_config|Starting migration to 121
18-7-1 23:30:24.0|Info|MigrationLogger|*** 122: add_movieid_to_blacklist migrating ***
18-7-1 23:30:24.0|Info|add_movieid_to_blacklist|Starting migration to 122
18-7-1 23:30:24.0|Info|MigrationLogger|*** 123: create_netimport_table migrating ***
18-7-1 23:30:24.0|Info|create_netimport_table|Starting migration to 123
18-7-1 23:30:24.1|Info|MigrationLogger|*** 124: add_preferred_tags_to_profile migrating ***
18-7-1 23:30:24.1|Info|add_preferred_tags_to_profile|Starting migration to 124
18-7-1 23:30:24.1|Info|MigrationLogger|*** 125: fix_imdb_unique migrating ***
18-7-1 23:30:24.1|Info|fix_imdb_unique|Starting migration to 125
18-7-1 23:30:24.1|Info|MigrationLogger|*** 126: update_qualities_and_profiles migrating ***
18-7-1 23:30:24.1|Info|update_qualities_and_profiles|Starting migration to 126
18-7-1 23:30:24.1|Info|MigrationLogger|*** 127: remove_wombles_kickass migrating ***
18-7-1 23:30:24.1|Info|remove_wombles_kickass|Starting migration to 127
18-7-1 23:30:24.1|Info|MigrationLogger|*** 128: remove_kickass migrating ***
18-7-1 23:30:24.1|Info|remove_kickass|Starting migration to 128
18-7-1 23:30:24.1|Info|MigrationLogger|*** 129: add_parsed_movie_info_to_pending_release migrating ***
18-7-1 23:30:24.1|Info|add_parsed_movie_info_to_pending_release|Starting migration to 129
18-7-1 23:30:24.1|Info|MigrationLogger|*** 131: make_parsed_episode_info_nullable migrating ***
18-7-1 23:30:24.1|Info|make_parsed_episode_info_nullable|Starting migration to 131
18-7-1 23:30:24.1|Info|MigrationLogger|*** 132: rename_torrent_downloadstation migrating ***
18-7-1 23:30:24.1|Info|rename_torrent_downloadstation|Starting migration to 132
18-7-1 23:30:24.1|Info|MigrationLogger|*** 133: add_minimumavailability migrating ***
18-7-1 23:30:24.1|Info|add_minimumavailability|Starting migration to 133
18-7-1 23:30:24.2|Info|MigrationLogger|*** 134: add_remux_qualities_for_the_wankers migrating ***
18-7-1 23:30:24.2|Info|add_remux_qualities_for_the_wankers|Starting migration to 134
18-7-1 23:30:24.2|Info|MigrationLogger|*** 135: add_haspredbentry_to_movies migrating ***
18-7-1 23:30:24.2|Info|add_haspredbentry_to_movies|Starting migration to 135
18-7-1 23:30:24.2|Info|MigrationLogger|*** 136: add_pathstate_to_movies migrating ***
18-7-1 23:30:24.2|Info|add_pathstate_to_movies|Starting migration to 136
18-7-1 23:30:24.2|Info|MigrationLogger|*** 137: add_import_exclusions_table migrating ***
18-7-1 23:30:24.2|Info|add_import_exclusions_table|Starting migration to 137
18-7-1 23:30:24.2|Info|MigrationLogger|*** 138: add_physical_release_note migrating ***
18-7-1 23:30:24.2|Info|add_physical_release_note|Starting migration to 138
18-7-1 23:30:24.2|Info|MigrationLogger|*** 139: consolidate_indexer_baseurl migrating ***
18-7-1 23:30:24.2|Info|consolidate_indexer_baseurl|Starting migration to 139
18-7-1 23:30:24.2|Info|MigrationLogger|*** 140: add_alternative_titles_table migrating ***
18-7-1 23:30:24.2|Info|add_alternative_titles_table|Starting migration to 140
18-7-1 23:30:24.2|Info|MigrationLogger|*** 141: fix_duplicate_alt_titles migrating ***
18-7-1 23:30:24.2|Info|fix_duplicate_alt_titles|Starting migration to 141
18-7-1 23:30:24.3|Info|MigrationLogger|*** 142: movie_extras migrating ***
